Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight,Brand
Thorntons Brownie Bites 10 Pack ,£4.09,,https://www.britishcornershop.co.uk/img/large/SCY849.jpg,images/Thorntons Brownie Bites 10 Pack .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/thorntons-brownie-bites-10-pack,4,140g,Thorntons
Cadbury Caramel Cake Bars 5 Pack ,£3.39,,https://www.britishcornershop.co.uk/img/large/SGN1315.jpg,images/Cadbury Caramel Cake Bars 5 Pack .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/cadbury-caramel-cake-bars-5-pack,5,150g,Cadbury
Kelloggs Chocolate Caramel Krispie Squares 4 Pack ,£3.99,,https://www.britishcornershop.co.uk/img/large/SGN3703.jpg,images/Kelloggs Chocolate Caramel Krispie Squares 4 Pack .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/kelloggs-chocolate-caramel-krispie-squares-4-pack,2,144g,Kelloggs
McVities Golden Syrup Cake ,£3.59,,https://www.britishcornershop.co.uk/img/large/SGN3091.jpg,images/McVities Golden Syrup Cake .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/mcvities-golden-syrup-cake,8,150g,McVities
Mr Kipling Trifle Bakewells 6 Pack ,£3.89,,https://www.britishcornershop.co.uk/img/large/CLEN2180.jpg,images/Mr Kipling Trifle Bakewells 6 Pack .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/mr-kipling-trifle-bakewells-6-pack,7,150g,Mr Kipling
Walkers Genoa Cake Sultana and Cherry ,£6.39,,https://www.britishcornershop.co.uk/img/large/PW608220.jpg,images/Walkers Genoa Cake Sultana and Cherry .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/walkers-genoa-cake-sultana-and-cherry,4,350g,Walkers Shortbread
Bonne Maman Blueberry Madeleines ,£5.49,,https://www.britishcornershop.co.uk/img/large/DF0181.jpg,images/Bonne Maman Blueberry Madeleines .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/bonne-maman-blueberry-madeleines,,175g,Bonne Maman
Bonne Maman Lemon Madeleines ,£5.49,,https://www.britishcornershop.co.uk/img/large/DF0180.jpg,images/Bonne Maman Lemon Madeleines .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/bonne-maman-lemon-madeleines,2,175g,Bonne Maman
McVities Chocolate Hob Nob Flapjacks 5 Pack ,£3.69,,https://www.britishcornershop.co.uk/img/large/CC0073.jpg,images/McVities Chocolate Hob Nob Flapjacks 5 Pack .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/mcvities-chocolate-hob-nob-flapjacks-5-pack,1,150g,McVities
Mr Kipling Viennese Whirls 6 Pack ,£3.89,,https://www.britishcornershop.co.uk/img/large/CC0016.jpg,images/Mr Kipling Viennese Whirls 6 Pack .jpg,Bakery - Cakes and Cake Bars,Shop > Bakery > Cakes and Cake Bars,Yes,https://www.britishcornershop.co.uk/mr-kipling-viennese-whirls-6-pack,7,150g,Mr Kipling
