Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight
Kingsmill Medium Sliced 50/50 Bread 800g,£1.00,13p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6528180/1/300x300.jpg,images/Kingsmill Medium Sliced 50_50 Bread 800g_6528180.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/kingsmill-50-50-bread--medium-800g,10,
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g,£1.60,20p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/7583476/1/300x300.jpg,images/Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g_7583476.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-seed-sensations-7-seeds-bread-800g,37,
Hovis Medium Sliced Wholemeal Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2300757/1/300x300.jpg,images/Hovis Medium Sliced Wholemeal Bread 800g_2300757.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-wholemeal-bread--medium-sliced-800g,17,
Warburtons Toastie Thick Sliced White Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2256481/1/300x300.jpg,images/Warburtons Toastie Thick Sliced White Bread 800g_2256481.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-white-sliced-bread--toastie-800g,37,
Hovis Soft Thick Sliced White Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/4067351/1/300x300.jpg,images/Hovis Soft Thick Sliced White Bread 800g_4067351.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-soft-white-bread--thick-sliced-800g,14,
Hovis Medium Sliced Best of Both Bread 750g,£1.15,15p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/7649054/1/300x300.jpg,images/Hovis Medium Sliced Best of Both Bread 750g_7649054.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-best-of-both-medium-750g,17,
Sainsbury's Medium Sliced Wholemeal Bread 800g,55p,7p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/280457/1/300x300.jpg,images/Sainsbury's Medium Sliced Wholemeal Bread 800g_280457.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-wholemeal-bread--medium-sliced-800g,34,
"Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread, Taste the Difference 800g",£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/1318180/1/300x300.jpg,"images/Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread, Taste the Difference 800g_1318180.jpg",All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/sainsburys-multi-seeded-wholemeal-bread--taste-the-difference-800g,79,
Warburtons Thick Sliced Seeded Bread 800g,£1.60,20p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/3463505/1/300x300.jpg,images/Warburtons Thick Sliced Seeded Bread 800g_3463505.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-batch-bread--seeded--large-800g,29,
Warburtons Soft Farmhouse Medium Sliced White Bread 800g,£1.35,17p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/3236048/1/300x300.jpg,images/Warburtons Soft Farmhouse Medium Sliced White Bread 800g_3236048.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-farmhouse-bread--original-soft-800g,13,
